지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
108,서울,2021-01-26,5.3,1.7,2357,7.4,1,6.92,,,,,1.7,6.8,320,1926,3.8,270,1652,1.9,1672,50,,,,,
108,서울,2021-01-27,1.7,-1.8,759,6.5,1400,,,,,,,9,20,1259,5.2,360,1303,2.2,1937,270,,,,,
108,서울,2021-01-28,-2.6,-9.7,2352,1.4,940,1.33,,,,,2,17.5,270,1747,8.7,250,1405,4,3417,270,3.6,1040,3.6,1040,3.6
108,서울,2021-01-29,-8.8,-11.6,556,-4.9,1556,,,,,,,13.7,250,30,7.3,270,8,3.5,3000,270,,,.7,1,
108,서울,2021-01-30,-1.6,-8.1,1,5.2,1614,4.5,,,,,.5,8.1,320,1355,4.8,290,1357,2.5,2125,50,.8,950,.8,950,.8
108,서울,2021-01-31,3.2,-3.8,542,8.7,1517,,,,,,,7,50,754,4.4,50,755,2,1756,70,,,,,
108,서울,2021-02-01,5,-2.3,2357,9.5,1320,.83,,,,,.7,11.4,270,2324,6.7,270,2326,2.7,2290,50,,,,,
108,서울,2021-02-02,-5.6,-8.2,756,-2.4,1,3.83,,,,,0,11.2,290,338,5.9,290,341,3.9,3353,270,,,,,
108,서울,2021-02-03,-3.2,-9.4,335,1.4,1337,6.5,,,,,3.4,8.5,270,1340,4.5,230,1347,2.2,1911,200,4.2,2355,4.2,2355,4.2
108,서울,2021-02-04,-3.6,-7.4,732,.7,1554,1.33,,,,,.1,10.4,250,417,5.3,250,350,2.5,2188,270,.2,30,4.3,30,.2
108,서울,2021-02-05,1.4,-4.4,1,6.7,1532,,,,,,,9.3,230,1501,5.1,200,1502,2.4,2116,200,,,1.4,1,
108,서울,2021-02-06,6.8,4.3,1,9.5,1405,,,,,,,8,230,1541,4.6,180,1353,2.2,1925,200,,,,,
108,서울,2021-02-07,3.6,-2.6,2352,7.7,1441,,,,,,,9.4,290,1410,5.3,250,1706,2.9,2518,270,,,,,
108,서울,2021-02-08,-3.1,-5.4,734,.2,1517,,,,,,,11.5,320,1551,6.3,320,1528,3.4,2936,290,,,,,
108,서울,2021-02-09,-.9,-6.1,415,4.7,1551,,,,,,,8.1,250,1450,4.8,250,1426,2,1693,250,,,,,
108,서울,2021-02-10,3.4,-1.5,339,7.2,1509,,,,,,,7.7,200,1632,4.3,200,1632,2.1,1799,230,,,,,
108,서울,2021-02-11,5.5,1.3,615,10.9,1606,,,,,,,4.9,110,1137,3.1,90,1143,1.3,1142,70,,,,,
108,서울,2021-02-12,6.5,.6,722,14,1507,,,,,,,5.9,250,1528,3.4,250,1909,1.7,1432,20,,,,,
108,서울,2021-02-13,7.6,1,758,15.9,1444,,,,,,,6.1,290,1621,3.8,290,1625,1.5,1285,20,,,,,
108,서울,2021-02-14,9.5,6.4,703,13.8,1244,.17,,,,,0,5.4,270,2354,3.6,250,2355,1.7,1428,70,,,,,
108,서울,2021-02-15,1.2,-5.2,2339,8.2,1,5.5,,,,,1.4,14.1,270,1419,7.3,250,1622,4,3432,250,,,,,
108,서울,2021-02-16,-5.1,-7,2358,-1.3,1707,5.55,,,,,1.5,12.9,290,2257,7.2,290,2353,3.2,2764,270,1.1,1355,1.1,1355,1.1
108,서울,2021-02-17,-8.3,-10.4,719,-5.2,1453,.67,,,,,0,15.8,270,1414,7.5,270,1417,5,4353,270,0,,.9,1,0
108,서울,2021-02-18,-5.8,-10.6,612,-.4,1631,,,,,,,9.9,270,948,6.1,290,954,3.1,2651,270,,,.2,1,
108,서울,2021-02-19,1.6,-7.1,537,8.9,1553,,,,,,,11.7,180,1557,5.9,230,1457,2.9,2474,200,,,,,
108,서울,2021-02-20,8.8,5.5,1,14.9,1545,,,,,,,6.5,180,4,3.9,200,5,2.1,1852,200,,,,,
108,서울,2021-02-21,10.8,4.7,723,17.4,1347,,,,,,,10.4,180,1607,5.8,200,1802,2.8,2380,50,,,,,
108,서울,2021-02-22,7.8,.4,2358,12.6,1220,,,,,,,11.6,290,1537,6.5,290,2032,2.9,2472,290,,,,,
108,서울,2021-02-23,0,-3.1,733,4.3,1521,,,,,,,8.5,290,1343,5.3,290,1343,2.9,2478,290,,,,,
108,서울,2021-02-24,2.9,-3,720,10.1,1517,,,,,,,4.7,290,103,3.2,290,109,1.8,1591,50,,,,,
108,서울,2021-02-25,4.2,.7,406,8.2,1527,,,,,,,4.2,20,1228,2.8,50,1035,1.4,1232,50,,,,,
108,서울,2021-02-26,8.2,.5,721,15.8,1506,,,,,,,7.2,20,2015,4.3,70,1110,2.3,2004,50,,,,,
108,서울,2021-02-27,9.5,4.3,636,16.2,1601,,,,,,,9.5,20,945,5.6,50,950,3.4,2977,90,,,,,
108,서울,2021-02-28,7.8,3.2,717,10.8,1607,,,,,,,6.8,70,235,4.3,70,242,2.1,1828,50,,,,,
108,서울,2021-03-01,4.7,.5,2324,9,1,22.92,,,,,67.5,13,180,1706,6.2,50,1802,3.5,3037,50,2.3,2350,2.3,2350,2.3
108,서울,2021-03-02,2.3,.2,352,6.9,1543,1.33,,,,,.1,6.4,290,1552,4,340,1712,1.9,1629,50,0,,2.3,1,0
108,서울,2021-03-03,4.4,-1.2,656,9.9,1627,,,,,,,5.3,110,1258,3.1,200,1415,1.8,1529,20,,,,,
108,서울,2021-03-04,7.2,2.5,310,13,1559,,,,,,,4.9,50,610,3.6,50,613,1.9,1662,50,,,,,
108,서울,2021-03-05,9,3,729,16.2,1518,,,,,,,8.1,230,1618,4.9,250,1618,2.1,1850,250,,,,,
108,서울,2021-03-06,6.6,3.2,2357,11.6,1216,,,,,,,10.5,50,1641,6.2,50,1426,3.3,2827,50,,,,,
108,서울,2021-03-07,6.2,2.1,659,12.2,1423,,,,,,,7.8,50,101,5.2,50,304,2.8,2424,50,,,,,
108,서울,2021-03-08,7,1.5,706,13.9,1425,,,,,,,7.7,230,1639,4.9,250,1645,1.8,1583,270,,,,,
108,서울,2021-03-09,6.6,2.1,550,12.2,1433,,,,,,,8.2,290,1641,4.6,250,1645,2.2,1886,250,,,,,
108,서울,2021-03-10,8.8,1.7,704,17.1,1539,,,,,,,5.8,70,1225,3.7,270,1842,1.8,1581,50,,,,,
108,서울,2021-03-11,10.2,4.7,720,17.1,1436,,,,,,,7.3,270,1647,4.5,250,1654,1.8,1530,270,,,,,
108,서울,2021-03-12,10.5,7.2,2353,14.9,1240,2.75,,,,,0,8.4,110,1412,4.8,70,1400,2.2,1924,50,,,,,
108,서울,2021-03-13,9.2,4.6,650,14.2,1436,,,,,,,7.6,250,1632,4.4,270,1617,2.2,1908,270,,,,,
108,서울,2021-03-14,9.1,4.9,701,14.7,1541,,,,,,,6.8,230,1301,3.9,250,1302,2.2,1879,250,,,,,
108,서울,2021-03-15,10.6,5.1,602,15.7,1446,1.25,,,,,1.7,9.8,250,2058,5.1,230,2106,2.4,2069,230,,,,,
108,서울,2021-03-16,8.4,4.9,2356,13.1,1438,2.42,,,,,1.3,9.9,270,46,5.3,270,52,3.2,2751,290,,,,,
108,서울,2021-03-17,8.8,1.8,628,17.5,1613,,,,,,,6.8,250,1713,4.7,250,1714,1.8,1598,50,,,,,
108,서울,2021-03-18,11.7,5,540,18.4,1604,,,,,,,6.5,270,1647,4.2,250,1655,1.8,1540,50,,,,,
108,서울,2021-03-19,15.3,11.4,640,20.2,1510,,,,,,,7.5,140,923,4.3,290,1817,2.2,1924,70,,,,,
108,서울,2021-03-20,9.9,7.4,2346,14.7,1,10.5,,,,,5.1,9.2,140,725,4,140,732,2.2,1887,110,,,,,
108,서울,2021-03-21,5.8,3.1,2355,8.6,1427,1.5,,,,,.3,14.8,320,1750,6.8,270,2126,4,3415,270,,,,,
108,서울,2021-03-22,6.2,1.1,653,11.1,1349,,,,,,,12.4,200,1356,6.9,230,1534,3.2,2774,250,,,,,
108,서울,2021-03-23,9.1,2.5,518,16.4,1418,,,,,,,12.1,270,1659,5.7,200,1437,2.5,2197,200,,,,,
108,서울,2021-03-24,10.8,5.7,619,16.9,1513,,,,,,,9.3,290,1646,5.3,290,1653,2.4,2068,270,,,,,
108,서울,2021-03-25,11.9,6.8,2356,19,1405,,,,,,,7.7,230,1525,4.9,270,1643,2.2,1892,270,,,,,
108,서울,2021-03-26,12.6,4.8,647,20.6,1543,,,,,,,4.2,250,1,2.9,250,4,1.4,1217,250,,,,,
108,서울,2021-03-27,12.1,10.2,621,15,1156,13.08,,,,,25.5,8,70,1558,4.8,50,1537,2.5,2178,70,,,,,
108,서울,2021-03-28,9,7.7,643,13,138,15,,,,,9.2,10.9,180,357,6.4,200,402,3.3,2879,200,,,,,
108,서울,2021-03-29,10.2,7.3,2357,14.6,1342,2.75,,,,,.2,11.2,270,1538,6.6,270,1541,3.3,2812,250,,,,,
108,서울,2021-03-30,10.8,4.1,623,18.2,1548,,,,,,,8.1,290,1917,5.1,250,1827,2.2,1927,270,,,,,
108,서울,2021-03-31,14.5,5.9,631,22.9,1535,,,,,,,6,270,2126,3.6,290,2124,1.8,1539,50,,,,,
108,서울,2021-04-01,17.7,12,651,24,1614,,,,,,,12.4,50,2159,6.7,50,2153,3.5,3017,50,,,,,
108,서울,2021-04-02,17.8,12.5,408,23,1506,.83,0,,0,,0,10.9,50,12,6.4,50,13,3.2,2779,70,,,,,
108,서울,2021-04-03,14.9,10.9,2353,18,1,16.53,2.9,1131,11.5,1110,56.2,10.3,50,2159,6.3,50,2037,3.1,2657,50,,,,,
108,서울,2021-04-04,11.9,9,2400,15.8,1337,5.75,.2,,.4,402,.6,9.7,50,107,5.2,50,112,3.2,2751,50,,,,,
108,서울,2021-04-05,11.9,5.4,629,19.3,1614,,,,,,,9,270,1655,5.3,270,1704,2.4,2064,20,,,,,
108,서울,2021-04-06,13.9,9.4,510,19.2,1343,,,,,,,9.5,200,1445,5.4,250,1653,2.5,2188,250,,,,,
108,서울,2021-04-07,14.1,8.1,607,20.4,1335,,,,,,,11.1,250,1513,6.2,270,1623,2.5,2137,250,,,,,
108,서울,2021-04-08,13,7.2,616,18,1516,,,,,,,10.6,320,1801,5.8,290,1611,2.7,2351,270,,,,,
108,서울,2021-04-09,13.6,7.6,416,19.6,1558,,,,,,,10,20,849,5.8,50,848,2.7,2306,50,,,,,
108,서울,2021-04-10,12.6,7.7,607,18.8,1459,,,,,,,8,250,1522,4.7,270,1531,2.6,2234,250,,,,,
108,서울,2021-04-11,15,7.5,639,21.8,1610,,,,,,,6.4,270,1736,3.9,250,1713,1.7,1480,20,,,,,
108,서울,2021-04-12,13.8,11.9,1703,17.8,1132,14.17,1.6,2316,5.4,1831,22,9.7,110,1317,4.8,140,1400,2.4,2036,70,,,,,
108,서울,2021-04-13,10.4,5.7,2355,13.5,1343,6.75,.8,9,3,-2351,8,10.2,270,1721,5.7,250,1354,3.7,3183,270,,,,,
108,서울,2021-04-14,8.4,3.1,544,13.3,1224,,,,,,,11.2,320,1342,6.9,270,1345,2.9,2484,270,,,,,
108,서울,2021-04-15,11.6,6.3,313,18.3,1454,,,,,,,8.5,290,1639,4.7,270,1654,2.1,1774,270,,,,,
108,서울,2021-04-16,11.3,8.1,2400,14.8,1602,3.5,.3,1113,.7,1057,.7,10.9,180,1719,5.7,200,1003,2.6,2274,200,,,,,
108,서울,2021-04-17,9.6,6,611,14.6,1527,1.58,0,,0,,0,12.5,180,1242,7.1,290,1602,2.6,2221,230,,,,,
108,서울,2021-04-18,9.9,5.6,607,15.3,1602,,,,,,,10.9,320,1355,5.7,250,1336,3.2,2722,250,,,,,
108,서울,2021-04-19,12.2,5.8,542,19.4,1440,,,,,,,8.8,180,1335,4.9,200,1642,2.4,2093,200,,,,,
108,서울,2021-04-20,14.8,8.1,614,22,1552,,,,,,,7.3,290,1811,4.5,270,1711,1.9,1626,270,,,,,
108,서울,2021-04-21,19.1,10.3,601,28.2,1601,,,,,,,7,250,2055,4.3,250,2102,1.8,1580,270,,,,,
108,서울,2021-04-22,20.9,16.1,251,27.5,1356,,,,,,,10,320,2218,5,50,942,2.5,2199,50,,,,,
108,서울,2021-04-23,19,17,703,21.7,1350,4,0,,0,,0,11.3,50,1045,6.9,50,1412,3.2,2732,50,,,,,
108,서울,2021-04-24,18.3,15.3,637,22.2,1540,.67,0,,0,,0,8.2,50,259,5.2,340,1431,2.7,2297,50,,,,,
108,서울,2021-04-25,18.2,12.6,500,24,1645,,,,,,,11.3,70,735,5.6,50,748,2.7,2375,50,,,,,
108,서울,2021-04-26,16.2,12.3,614,20.6,1408,,,,,,,8.5,200,1310,4.6,290,1651,2.6,2247,110,,,,,
108,서울,2021-04-27,15.4,12.5,430,20,1427,4,2.2,2356,5.8,2331,1.7,9,200,2304,5,230,1835,2.3,2013,200,,,,,
108,서울,2021-04-28,14.5,11.2,602,18.2,1419,1.33,1.4,9,4.7,1,4.7,9.7,180,49,4.8,230,57,2.4,2059,200,,,,,
108,서울,2021-04-29,14.6,10.9,538,20.1,1609,4.33,1.2,2355,4.3,2313,3.9,11,180,2232,6.4,200,2235,2.3,1966,50,,,,,
108,서울,2021-04-30,11.3,8.6,414,14.6,1227,9.75,1.8,332,8.9,245,26.3,8.5,160,1445,5.2,200,1449,2.4,2077,200,,,,,
108,서울,2021-05-01,10.2,8.5,2326,15.3,1256,11.67,1.5,1424,5.3,1419,8,10.3,290,1418,6.3,320,1425,2.7,2360,270,,,,,
108,서울,2021-05-02,12.4,7.3,602,18.7,1436,2.5,.4,110,1.2,24,1.7,9.3,290,1720,5.3,270,1740,3.1,2720,270,,,,,
108,서울,2021-05-03,14.1,8.4,555,20.3,1520,,,,,,,8.6,270,1559,4.9,200,1348,2.1,1847,200,,,,,
108,서울,2021-05-04,13.8,11.4,300,15.8,1915,16.25,1.5,1446,5.1,1436,19.6,9.3,290,2346,4.8,290,2149,2.1,1796,50,,,,,
108,서울,2021-05-05,13.9,10.3,620,18.4,1509,.5,.1,,.4,-2331,.1,13.1,270,1417,6.7,250,1544,3.5,3003,250,,,,,
108,서울,2021-05-06,15.7,7.9,538,23.1,1420,,,,,,,11.8,230,1612,6.5,230,1620,2.4,2081,50,,,,,
108,서울,2021-05-07,14.4,10.7,2357,17.2,1505,1.5,5.9,942,8.8,915,8.8,12.6,200,1418,6.7,230,1352,3.4,2923,230,,,,,
108,서울,2021-05-08,14.3,8.9,547,21,1437,,,,,,,15.4,180,1600,8.4,200,1557,3.4,2913,250,,,,,
108,서울,2021-05-09,15.7,10,513,21.8,1551,,,,,,,14.3,270,1357,7.9,270,1037,3.5,3019,270,,,,,
108,서울,2021-05-10,13.2,11.7,230,14.6,1716,3.08,0,,0,,0,6.7,200,507,4,200,513,1.8,1547,50,,,,,
108,서울,2021-05-11,18.5,9.4,414,25.7,1514,,,,,,,10.5,140,2150,5,110,1704,2.7,2362,110,,,,,
108,서울,2021-05-12,22,16.9,529,27.7,1626,,,,,,,6.9,50,819,3.7,50,824,2.2,1860,70,,,,,
108,서울,2021-05-13,22.9,16.6,542,29.6,1459,,,,,,,7.2,200,1556,4.2,250,1807,1.9,1642,250,,,,,
108,서울,2021-05-14,24.1,18,558,30.8,1541,,,,,,,7.4,250,1806,4.3,250,1811,1.7,1497,50,,,,,
108,서울,2021-05-15,22.1,20.8,1911,26.2,1204,14,2.2,1338,5.8,1302,15,6.1,110,1110,3.6,110,1048,1.7,1432,50,,,,,
108,서울,2021-05-16,18.4,14.8,2345,20.8,1,24,2.6,1912,11.3,1853,66.9,8.9,50,1730,4.4,180,724,2.5,2164,50,,,,,
108,서울,2021-05-17,15.3,14.2,442,16.7,1815,13.83,.4,1118,1.7,1115,3.1,5.3,50,2,3.1,50,2,1.6,1362,50,,,,,
108,서울,2021-05-18,17.9,13.6,403,24.5,1611,,,,,,,7.3,250,1659,4.5,270,1702,1.7,1509,270,,,,,
108,서울,2021-05-19,19.9,12.4,557,26.6,1503,,,,,,,7.4,250,1539,4.4,250,1525,1.8,1553,270,,,,,
108,서울,2021-05-20,18.7,15.6,2335,22.9,1252,11.15,.3,2011,.5,2219,.9,13,110,1629,6.2,90,1610,2.5,2135,50,,,,,
108,서울,2021-05-21,16,14.2,637,18.2,1820,15.17,1.3,1444,2,1401,6.9,7.1,50,12,4.2,50,49,1.7,1503,290,,,,,
108,서울,2021-05-22,18.6,13.8,531,23.8,1309,.92,.2,,.2,,.2,9.5,250,1505,6.2,270,1506,2.5,2161,250,,,,,
108,서울,2021-05-23,19.5,14.3,521,25.1,1328,,,,,,,7.9,270,2024,4.8,270,2028,1.7,1461,270,,,,,
